date,open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
13/12/2021,1.63935E+12,0.0002034,0.0002107,0.0002031,0.0002068,4765088,1.63944E+12,985.8324046,7292,2290700,474.3015562,0
14/12/2021,1.63944E+12,0.0002066,0.0002129,0.0002053,0.0002099,4969359,1.63953E+12,1043.980358,7329,2427571,509.8682216,0
15/12/2021,1.63953E+12,0.0002101,0.0002134,0.0002041,0.0002057,5277964,1.63961E+12,1103.967147,7912,2873233,601.3570198,0
16/12/2021,1.63961E+12,0.0002055,0.0002067,0.0002009,0.0002032,3007640,1.6397E+12,613.3595936,4638,1395797,284.8210957,0
17/12/2021,1.6397E+12,0.0002033,0.0002113,0.0002031,0.0002052,4254775,1.63979E+12,883.9967866,6558,2191543,455.3127777,0
18/12/2021,1.63979E+12,0.0002056,0.0002111,0.0002056,0.0002086,2853471,1.63987E+12,596.4260411,4342,1390642,290.7991951,0
19/12/2021,1.63987E+12,0.0002086,0.0002136,0.0002075,0.0002128,3318434,1.63996E+12,699.7390321,4807,1818196,383.3228771,0
20/12/2021,1.63996E+12,0.0002126,0.0002342,0.0002117,0.0002231,9477913,1.64004E+12,2131.868894,14441,4485987,1007.473515,0
21/12/2021,1.64004E+12,0.0002231,0.0002388,0.0002164,0.0002357,8564697,1.64013E+12,1927.417104,14409,4961537,1116.79811,0
22/12/2021,1.64013E+12,0.0002359,0.0002419,0.0002329,0.0002395,8037497,1.64022E+12,1908.067074,11823,3327296,789.7638091,0
23/12/2021,1.64022E+12,0.0002397,0.0002582,0.0002392,0.0002419,9542706,1.6403E+12,2360.617179,16468,4711923,1167.134092,0
24/12/2021,1.6403E+12,0.0002418,0.0002421,0.0002208,0.000225,13817078,1.64039E+12,3223.068537,19123,7350830,1723.243746,0
25/12/2021,1.64039E+12,0.000225,0.0002297,0.0002231,0.0002258,3358011,1.64048E+12,761.5140699,5574,1648581,374.0084373,0
26/12/2021,1.64048E+12,0.0002258,0.0002281,0.0002248,0.0002264,2221084,1.64056E+12,502.4743591,3609,1270206,287.3813846,0
27/12/2021,1.64056E+12,0.0002263,0.0002337,0.0002254,0.0002295,5194123,1.64065E+12,1188.032477,6681,2469847,565.2898281,0
28/12/2021,1.64065E+12,0.0002294,0.0002296,0.0002226,0.0002245,4134452,1.64074E+12,935.3983922,7081,1802394,408.0401284,0
